;n_of_events;mean_freq;CV_freq
0;3171;52.92855258;3.926236519
1;3250;54.25554652;4.001956235
2;3231;53.9286592;3.912991275
3;3287;54.86025298;3.89421344
4;3253;54.31062969;4.052107794
5;3295;55.00639462;3.919861021
6;3289;54.8923926;3.9527648
7;3254;54.32269713;3.99686613
8;3224;53.82308295;4.192386433
9;3112;51.97731974;4.627327265
10;3314;55.40963447;5.568393597
11;3435;57.32895729;3.899272071
12;3376;56.36821824;4.160846615
13;3334;55.66072065;4.045850204
14;3276;54.69598084;4.271350545
15;3209;53.57610682;4.222299449
16;3158;52.73753579;4.283163583
17;3109;51.91897854;4.404448062
18;3095;51.67294363;4.362514599
19;3099;51.75151567;4.304108871
20;3140;52.43507468;4.486640217
21;3157;52.71536271;4.431342836
22;3110;51.96929658;5.469258655
23;3071;51.2948312;4.410176754
24;3053;50.9669221;4.329849228
25;3070;51.26843019;4.336147203
26;3027;50.53470594;4.26443903
27;3010;50.26835169;4.321876148
28;3007;50.20464422;4.32375555
29;3009;50.23602325;4.237940159
30;3022;50.45210335;4.147186365
31;3025;50.50521935;4.205414164
32;3000;50.10486566;4.3039571
33;2994;49.9787428;4.189973559
34;3015;50.34541687;4.262643737
35;3071;51.27984014;4.292470777
36;3067;51.19894782;4.246698537
37;3065;51.18883187;4.343185944
38;3103;51.81078294;4.343944416
39;2994;50.00577024;4.471669422
